model,dataset,dataset_z,score_source,dq_masked
ai21/jamba-large-1.7,analobench,0.4791157400660885,raw,False
ai21/jamba-large-1.7,arn,-0.1957390627980948,raw,False
ai21/jamba-large-1.7,brainteaser,0.0912766652631176,raw,False
ai21/jamba-large-1.7,c3_crosstalk,1.0741581129719069,raw,False
ai21/jamba-large-1.7,chinese_homophonic_puns,0.0306102783957188,raw,False
ai21/jamba-large-1.7,fig_qa,2.4403472659063783,raw,False
ai21/jamba-large-1.7,futuregen,0.6046642460430073,raw,False
ai21/jamba-large-1.7,grapheval_ai_researcher,-0.1806305199982286,raw,False
ai21/jamba-large-1.7,grapheval_iclr,-0.1341170839160292,raw,False
ai21/jamba-large-1.7,grapheval_review_advisor,-0.4226098896117308,raw,False
ai21/jamba-large-1.7,historical_analogy,-0.6812598900447862,raw,False
ai21/jamba-large-1.7,humor_transfer,-1.140366331893727,raw,False
ai21/jamba-large-1.7,hypobench,0.3499657042604565,raw,False
ai21/jamba-large-1.7,lcc_metaphor,0.2283838651977821,raw,False
ai21/jamba-large-1.7,meta4xnli,0.6772778525705534,raw,False
ai21/jamba-large-1.7,metaphor_generation,1.0471486686830394,raw,False
ai21/jamba-large-1.7,metaphoric_analogies,-0.9178804904239646,raw,False
ai21/jamba-large-1.7,moh_x,-2.106133464066765,raw,False
ai21/jamba-large-1.7,munch,-1.8705817045893545,raw,False
ai21/jamba-large-1.7,newyorker_humor,0.4201282550697621,raw,False
ai21/jamba-large-1.7,nyt_connections,1.347347987126101,raw,False
ai21/jamba-large-1.7,ocw,-0.8358289891714505,raw,False
ai21/jamba-large-1.7,ocw_connections,0.861322597696011,raw,False
ai21/jamba-large-1.7,outline_to_story,1.015978018988341,raw,False
ai21/jamba-large-1.7,permpst,-0.0822982815918506,raw,False
ai21/jamba-large-1.7,poetmt,0.0134217410646874,raw,False
ai21/jamba-large-1.7,proparalogy,-0.1376198050636118,raw,False
ai21/jamba-large-1.7,puntuguese,0.0093969909880515,raw,False
ai21/jamba-large-1.7,riddlesense,0.2942062792350171,raw,False
ai21/jamba-large-1.7,scar,0.0405799460714403,raw,False
ai21/jamba-large-1.7,schnovel,-0.8758739019835262,raw,False
