dataset,canonical_metric,raw_mean,raw_sd,n,rmse_vs_published,source
analobench,accuracy,0.7768524096385541,0.1735438504900226,83,0.08219291606739922,agc_long_metric_z
arastories,fluency,1.9886746987951807,11.393212439236423,83,1.6344645791122592,agc_long_metric_z
arena_hard_creative,arena_hard_instance_score,39.55784361937546,31.6469730095084,83,0.4252941713872037,agc_long_metric_z
arn,arn_accuracy,0.7588234151989806,0.08168963443053949,82,0.40078893287488143,agc_long_metric_z
brainteaser,brainteaser_all_overall_accuracy,0.24501901979751498,0.0798724469869546,83,0.19778412182392188,agc_long_metric_z
c3_crosstalk,bleu_2,0.10973620093814553,0.03270559754668349,83,0.3198266761689499,agc_long_metric_z
chinese_homophonic_puns,exact_match_accuracy,0.42530120481927713,0.22410982362964635,83,0.22376357783451528,agc_long_metric_z
conceptual_design,conceptual_design_novelty,0.8229280759401242,0.43782966776335486,83,0.28483527786355245,agc_long_metric_z
cpers,cpers_elaboration,3.7774226619036,0.8914460821947262,83,0.45183846985433224,agc_long_metric_z
creatset,creatset_pairwise_loss_rate,0.46626506024096387,0.24823135767879387,83,0.17914918073195463,agc_long_metric_z
crowd_vote,marketing_creativity_judge_originality,3.0503027654287322,0.6261521502883126,83,0.263615062522912,agc_long_metric_z
cue_word_story,llm_judge_effectiveness,4.355421686746988,0.8634874004543794,83,0.49949915529889066,agc_long_metric_z
data_narrative,bert_score,0.5861839987176011,0.07395357248593942,83,1.0473728085521892,agc_long_metric_z
eqbench_creative_writing_v3,creative_score_0_20,11.641281253075542,3.8092834234461166,83,0.16851365740272806,agc_long_metric_z
fann_or_flop,overall_score,1.914939759036144,0.6195580121934603,83,0.4233440448233698,agc_long_metric_z
fig_qa,exact_match,0.18554216867469883,0.32555113873526054,83,0.13849097774050853,agc_long_metric_z
future_ideas,llm_judge_novelty,1.900722891566265,11.34048239425773,83,1.6077200843203214,agc_long_metric_z
futuregen,rouge_l,0.10495514864253765,0.05072715438492356,83,0.24690857470318917,agc_long_metric_z
grapheval_ai_researcher,f1_macro,0.3140583646607743,0.13495254282325486,83,0.5606296844466715,agc_long_metric_z
grapheval_iclr,recall_macro,0.2581576305220884,0.08431088212898286,83,0.5068421995970477,agc_long_metric_z
grapheval_review_advisor,recall_macro,0.3149689400878367,0.09955506290648583,83,0.4905070748215842,agc_long_metric_z
historical_analogy,historical_analogy_pass_at_1,0.1674698795180723,0.1897420802260845,83,0.6029681332105284,agc_long_metric_z
humor_transfer,accuracy,0.24957831325301208,0.15268971569836334,83,0.11352059998127957,agc_long_metric_z
hypobench,hypobench_ind_parsed_label_rate,0.9160516351118759,0.1362466696129952,83,0.21152356684776702,agc_long_metric_z
hypogen,hypogen_proxy_novelty,2.494457831325301,0.8171235286081264,83,0.30171756534626953,agc_long_metric_z
irfl,exact_match,0.48484848484848486,0.21212277123344767,33,0.38845768829825167,agc_long_metric_z
lcc_metaphor,quasi_exact_match,0.5240963855421686,0.2750921625812077,83,0.3132537582110431,agc_long_metric_z
liveideabench,liveideabench_originality,4.736210218277661,1.4400652859957774,83,0.25651712893359074,agc_long_metric_z
meta4xnli,classification_micro_f1,0.754277108433735,0.20167005855695622,83,0.211522567550705,agc_long_metric_z
metaphor_generation,f1_score,0.4321048012907473,0.13012699853730356,83,0.2472783123426629,agc_long_metric_z
metaphoric_analogies,f1_score,0.384990932720787,0.1763841075007526,83,0.5399319549978848,agc_long_metric_z
moh_x,exact_match,0.6625903614457832,0.3146003673320766,83,0.05610163885508058,agc_long_metric_z
mops,mops_quality_score,64.17052208835341,5.260037725964634,83,0.8495810442463376,agc_long_metric_z
munch,exact_match,0.4686746987951807,0.2558463767544574,83,0.08013631548327146,agc_long_metric_z
newyorker_humor,accuracy,0.5535976906421349,0.17948411493031155,83,0.37223585694235506,agc_long_metric_z
nyt_connections,full_wall,0.5373493975903615,0.21686842328454678,83,0.32817209603883823,agc_long_metric_z
ocw,empty_group_slots,2.8389221220546523,3.321201488053144,83,0.668707809425978,agc_long_metric_z
ocw_connections,rouge_1,0.5830734952863529,0.22108425857541233,83,0.11994213591671787,agc_long_metric_z
outline_to_story,rouge_2,0.08658827771722517,0.014325386272840905,83,0.45995500596779076,agc_long_metric_z
permpst,kendall_tau_correlation,0.22893241306587608,0.11157236563189246,83,0.3693822669979178,agc_long_metric_z
poetmt,llm_judge_beauty_of_form,3.751325301204819,0.7427844303442275,83,0.3743516656570454,agc_long_metric_z
