model,dataset,canonical_metric,raw_score,dataset_z,release_mean,release_sd,release_n,domain,stats_json
openai/gpt-5-mini,analobench,accuracy,0.25,0.22485104518758342,0.03702251256782743,0.9471936732804366,82,Problem Solving,benchmark_output/runs/first_full_trial/analobench:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,arastories,fluency,3.3333333333333335,3.3333333333333335,-7.851818258493577e-16,1.0000000000000002,83,Story / Narrative,benchmark_output/runs/first_full_trial/arastories:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,brainteaser,exact_match,0.0,-1.003213576468515e-17,1.003213576468515e-17,1.0,83,Problem Solving,benchmark_output/runs/first_full_trial/brainteaser:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,c3_crosstalk,bleu_1,0.0,-2.5414743937202377e-17,2.5414743937202377e-17,1.0,83,Humor,benchmark_output/runs/first_full_trial/c3_crosstalk:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,chinese_homophonic_puns,exact_match_accuracy,0.0,-0.03395902058445737,0.03262393503005688,0.9606853928227971,82,Humor,benchmark_output/runs/first_full_trial/chinese_homophonic_puns:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,data_narrative,bleu_4,0.0,8.266479870100561e-16,-8.266479870100563e-16,1.0000000000000002,83,Story / Narrative,benchmark_output/runs/first_full_trial/data_narrative:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,fig_qa,exact_match,0.0,-2.140188963132832e-17,2.140188963132832e-17,1.0,83,Figurative Language,benchmark_output/runs/first_full_trial/fig_qa:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,future_ideas,llm_judge_novelty,3.0,3.0000000000000018,-9.309821989627818e-16,0.9999999999999998,83,STEM,benchmark_output/runs/first_full_trial/future_ideas:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,futuregen,bleu_4,0.0,-0.04863168987530465,0.046740077954367854,0.9611033067987761,81,STEM,benchmark_output/runs/first_full_trial/futuregen:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,grapheval_ai_researcher,decision_accuracy,0.3333333333333333,0.32061015831177203,0.05614629054098694,0.8645610115784306,82,STEM,benchmark_output/runs/first_full_trial/grapheval_ai_researcher:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,grapheval_iclr,decision_accuracy,0.0,1.3376181019580199e-17,-1.3376181019580199e-17,1.0,83,STEM,benchmark_output/runs/first_full_trial/grapheval_iclr:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,grapheval_review_advisor,decision_accuracy,0.6666666666666666,0.6666666666666666,8.025708611748119e-18,1.0,83,STEM,benchmark_output/runs/first_full_trial/grapheval_review_advisor:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,historical_analogy,historical_analogy_pass_at_1,0.0,-0.05360131636787448,0.05125490944937653,0.9562248265995152,81,Problem Solving,benchmark_output/runs/first_full_trial/historical_analogy:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,humor_transfer,accuracy,0.0,-0.020509642297112454,0.0202805645818322,0.9888307308356857,82,Humor,benchmark_output/runs/first_full_trial/humor_transfer:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,irfl,exact_match,0.0,0.0,0.0,1.0,33,Figurative Language,benchmark_output/runs/first_full_trial/irfl:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,lcc_metaphor,exact_match,0.0,-0.024113631610128076,0.02369020249394276,0.982440259392224,82,Figurative Language,benchmark_output/runs/first_full_trial/lcc_metaphor:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,meta4xnli,classification_macro_f1,0.0,5.885519648615288e-17,-5.885519648615288e-17,1.0,83,Problem Solving,benchmark_output/runs/first_full_trial/meta4xnli:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,metaphor_generation,bleu_4,0.0,2.6752362039160404e-18,-2.67523620391604e-18,0.9999999999999999,83,Figurative Language,benchmark_output/runs/first_full_trial/metaphor_generation:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,metaphoric_analogies,exact_match,0.0,-1.6051417223496238e-17,1.6051417223496238e-17,1.0,83,Figurative Language,benchmark_output/runs/first_full_trial/metaphoric_analogies:model=openai_gpt-5-mini/stats.json
openai/gpt-5-mini,moh_x,exact_match,0.0,-0.026256411986411286,0.02568455443983858,0.9782202706573669,82,Figurative Language,benchmark_output/runs/first_full_trial/moh_x:model=openai_gpt-5-mini/stats.json
