benchmark,model,count,mean,std,min,max,near_constant,low_n
conceptual_design,anthropic/claude-haiku-4.5,4,1.0271974411203482,0.045302516994058316,0.9648026839263485,1.0712370289117927,True,True
arena_hard_creative,meta-llama/llama-3.2-3b-instruct,50,0.16399281215034217,0.04574457141685468,0.06162385739722616,0.2809980953522692,True,False
conceptual_design,openai/gpt-4.1,3,1.036267703995492,0.06783909216479989,0.9635654156367651,1.0978760328219537,False,True
cue_word_story,z-ai/glm-5.1,4,4.682665131910711,0.07341862759614343,4.5999099060205415,4.765676656598786,False,True
cue_word_story,ibm-granite/granite-4.0-h-micro,4,2.7379470868912876,0.09342930338839318,2.6347054140527506,2.8207051634847478,False,True
cue_word_story,z-ai/glm-5-turbo,4,4.615625436513941,0.09731187716507178,4.533785286380036,4.748877256386758,False,True
conceptual_design,morph/morph-v3-fast,11,0.18908479886171473,0.1140836867034141,0.0,0.4682353974769518,False,True
conceptual_design,qwen/qwen3-next-80b-a3b-instruct,7,1.80114932582186,0.12905081099673482,1.5665774963508203,1.912049654473512,False,True
conceptual_design,openai/gpt-4o-mini,8,0.9702869589194422,0.13342157783115388,0.6931033535230536,1.0994817909481795,False,True
conceptual_design,meta-llama/llama-3.1-70b-instruct,7,0.6015172049049583,0.1396604256758958,0.377059310892125,0.8030606173810146,False,True
cue_word_story,google/gemini-2.5-flash,4,4.537751040793241,0.15024615798856128,4.370349764542194,4.731314337911964,False,True
conceptual_design,deepseek/deepseek-chat-v3-0324,6,1.1715899090605653,0.1622109116099239,1.0181173582204355,1.4492783370587807,False,True
cue_word_story,deepseek/deepseek-v3.2-exp,4,4.4524395128518375,0.17185108722288522,4.225856725239607,4.6251805971964774,False,True
cue_word_story,mistralai/mistral-large-2512,4,4.3342080412697195,0.17303323695403405,4.165527820498326,4.5734468567631215,False,True
cue_word_story,deepseek/deepseek-chat-v3.1,4,4.460282326600609,0.17356490380138426,4.330837312391028,4.7098973861431315,False,True
conceptual_design,ai21/jamba-large-1.7,10,0.9707156124247349,0.17893471868721417,0.5083231250507385,1.1123191926125506,False,True
cue_word_story,z-ai/glm-4.7,4,3.9913666634525233,0.17977550044781332,3.7920698489312405,4.225787955696309,False,True
cue_word_story,arcee-ai/trinity-large-preview,4,3.3425893807893337,0.17993223097260622,3.1860405409388766,3.5953411396953054,False,True
conceptual_design,mistralai/mistral-small-3.1-24b-instruct,12,0.25862074673734703,0.1863650405615025,0.0874528533065013,0.7163439604435093,False,True
conceptual_design,deepseek/deepseek-chat-v3.1,5,1.3522236473486386,0.1873894298723525,1.0851392622595817,1.5947956260413834,False,True
conceptual_design,moonshotai/kimi-k2-0905,7,1.730885879238855,0.19186200796986425,1.3302427801512071,1.8717346746594201,False,True
conceptual_design,meta-llama/llama-3.3-70b-instruct,8,0.40166576158467093,0.19317974274171035,0.13108490745902135,0.7000097161064,False,True
conceptual_design,nousresearch/hermes-3-llama-3.1-70b,8,0.2402092172856959,0.1934006883056152,0.06416709672683144,0.5496058929798923,False,True
conceptual_design,nvidia/nemotron-3-nano-30b-a3b,8,1.1347168086811703,0.19472795349228655,0.9700651003411227,1.4761976542417792,False,True
cue_word_story,mistralai/pixtral-large-2411,4,4.229597046330483,0.19544341322842507,3.9484983714696207,4.39597893900409,False,True
conceptual_design,minimax/minimax-01,10,0.6351233889898185,0.19567198382698606,0.32297966946250944,0.9941472247670038,False,True
cue_word_story,z-ai/glm-4.6,4,4.438950190601842,0.19590406082010267,4.169775632899478,4.6259860825138714,False,True
cue_word_story,baidu/ernie-4.5-vl-424b-a47b,4,4.486592157903336,0.20028639035642462,4.35734085926839,4.782354622728375,False,True
cue_word_story,qwen/qwen3.5-flash-02-23,4,4.4864720903951545,0.2061671794680021,4.23396965047233,4.656590292602945,False,True
cue_word_story,moonshotai/kimi-k2-0905,4,4.6176358876624235,0.20727372098996905,4.317218826832148,4.760878070688683,False,True
conceptual_design,amazon/nova-pro-v1,8,0.4331441799692362,0.21631941335562094,0.08914153202475354,0.6671475319476138,False,True
conceptual_design,meta-llama/llama-3.2-3b-instruct,10,0.42852029088662746,0.2166612073957361,0.08752472930805374,0.7197157407534767,False,True
conceptual_design,meta-llama/llama-3-8b-instruct,10,0.5049859667903421,0.22242167127425544,0.1330516905320162,0.893024070596145,False,True
cue_word_story,mistralai/mistral-nemo,4,2.9466693734633203,0.22961353401275073,2.708494898901571,3.2598542714600134,False,True
cue_word_story,anthropic/claude-opus-4.6,4,4.4001745791267215,0.23258225277776545,4.076452747050837,4.614103175651138,False,True
conceptual_design,qwen/qwen-turbo,6,0.4249093698660605,0.23477641917615907,0.10622840645484093,0.6938670125404197,False,True
